SPECIES,Scientific_Name,Name_En,Major_Group
TRZ,Pseudocaranx dentex,White trevally,PISCES
BOC,Capros aper,Boarfish,PISCES
SJU,Sebastolobus alascanus,Shortspine thornyhead,PISCES
TRG,Balistes carolinensis,Grey triggerfish,PISCES
SNR,Lutjanus campechanus,Northern red snapper,PISCES
AGN,Squatina squatina,Angelshark,PISCES
SHO,Galeus melastomus,Blackmouth catshark,PISCES
MUR,Mullus surmuletus,Surmullet,PISCES
SPC,Spicara smaris,Picarel,PISCES
GUR,Aspitrigla cuculus,Red gurnard,PISCES
BSF,Aphanopus carbo,Black scabbardfish,PISCES
FAS,Sprattus fuegensis,Falkland sprat,PISCES
BYS,Beryx splendens,Splendid alfonsino,PISCES
RJR,Raja radiata,Starry ray,PISCES
SYC,Scyliorhinus canicula,Small-spotted catshark,PISCES
RJM,Raja montagui,Spotted ray,PISCES
RJH,Raja brachyura,Blonde ray,PISCES
RJI,Raja circularis,Sandy ray,PISCES
RJF,Raja fullonica,Shagreen ray,PISCES
RJE,Raja microocellata,Small-eyed ray,PISCES
RJN,Raja naevus,Cuckoo ray,PISCES
RJU,Raja undulata,Undulate ray,PISCES
TIL,Lopholatilus chamaeleonticeps,Great Northern tilefish,PISCES
DPV,Zearaja chilensis,Yellownose skate,PISCES
MAB,Mycteroperca bonaci,Black grouper,PISCES
CKI,Strangomera bentincki,Araucanian herring,PISCES
VET,Engraulis ringens,Anchoveta(=Peruvian anchovy),PISCES
RRH,Etrumeus teres,Red-eye round herring,PISCES
RSA,Decapterus maruadsi,Japanese scad,PISCES
SSM,Scomberomorus maculatus,Atlantic Spanish mackerel,PISCES
RPU,Rhomboplites aurorubens,Vermilion snapper,PISCES
LOR,Jasus edwardsii,Red rock lobster,CRUSTACEA
MEC,Metanephrops challengeri,New Zealand lobster,CRUSTACEA
STG,Cynoscion regalis,Squeteague(=Gray weakfish),PISCES
CKA,Micropogonias undulatus,Atlantic croaker,PISCES
