SPECIES,id_level,nei_levels,excluded,farmed,wild_caught,farmed_only
PCO,Species,NA,included,NA,yes,NA
GRC,Species,NA,included,NA,yes,NA
ALK,Species,NA,included,NA,yes,NA
FBU,Species,NA,included,yes,yes,NA
LIN,Species,NA,included,NA,yes,NA
BLI,Species,NA,included,NA,yes,NA
SLI,Species,NA,included,NA,yes,NA
LNZ,Nei,genus,included,NA,yes,NA
GFB,Species,NA,included,NA,yes,NA
FOR,Species,NA,included,NA,yes,NA
GPE,Species,NA,included,NA,yes,NA
FOX,Nei,genus,included,NA,yes,NA
HKU,Species,NA,included,NA,yes,NA
HKR,Species,NA,included,NA,yes,NA
HKW,Species,NA,included,NA,yes,NA
HAD,Species,NA,included,yes,yes,NA
COW,Species,NA,included,NA,yes,NA
SAF,Species,NA,included,NA,yes,NA
MGX,Species,NA,included,NA,yes,NA
TOM,Species,NA,included,NA,yes,NA
POK,Species,NA,included,NA,yes,NA
POL,Species,NA,included,yes,yes,NA
POC,Species,NA,included,NA,yes,NA
GDG,Species,NA,included,NA,yes,NA
GDE,Species,NA,included,NA,yes,NA
ROL,Nei,genus,included,NA,yes,NA
NOP,Species,NA,included,NA,yes,NA
POD,Species,NA,included,NA,yes,NA
BIB,Species,NA,included,NA,yes,NA
WHB,Species,NA,included,NA,yes,NA
POS,Species,NA,included,NA,yes,NA
WHG,Species,NA,included,NA,yes,NA
ENC,Species,NA,included,NA,yes,NA
HKE,Species,NA,included,NA,yes,NA
HKM,Species,NA,included,NA,yes,NA
HKN,Species,NA,included,NA,yes,NA
HKS,Species,NA,included,NA,yes,NA
PHA,Species,NA,included,NA,yes,NA
HKP,Species,NA,included,NA,yes,NA
NHA,Species,NA,included,NA,yes,NA
HKB,Species,NA,included,NA,yes,NA
HKO,Species,NA,included,NA,yes,NA
HOF,Species,NA,included,NA,yes,NA
MRG,Species,NA,included,NA,yes,NA
HKK,Species,NA,included,NA,yes,NA
HKX,Nei,genus,included,NA,yes,NA
HKC,Nei,mixed species,included,NA,yes,NA
GRM,Species,NA,included,NA,yes,NA
GRN,Species,NA,included,NA,yes,NA
RHG,Species,NA,included,NA,yes,NA
WGR,Species,NA,included,NA,yes,NA
MCC,Species,NA,included,NA,yes,NA
MCH,Species,NA,included,NA,yes,NA
QMC,Species,NA,included,NA,yes,NA
GRV,Nei,genus,included,NA,yes,NA
RNG,Species,NA,included,NA,yes,NA
MCS,Species,NA,included,yes,NA,yes
CVY,Nei,genus,included,NA,yes,NA
CQO,Species,NA,included,NA,yes,NA
TSU,Species,NA,included,NA,yes,NA
MNI,Species,NA,included,NA,yes,NA
NZA,Species,NA,included,NA,yes,NA
LDE,Species,NA,included,NA,yes,NA
RTX,Nei,family,included,NA,yes,NA
GAD,Nei,order,included,NA,yes,NA
GTA,Species,NA,included,yes,yes,NA
KLA,Species,NA,included,NA,yes,NA
FUC,Species,NA,included,NA,yes,NA
FUT,Species,NA,included,NA,yes,NA
FIO,Species,NA,included,NA,yes,NA
SNS,Species,NA,included,NA,yes,NA
NLD,Species,NA,included,NA,yes,NA
CUQ,Species,NA,included,NA,yes,NA
HIC,Nei,genus,included,NA,yes,NA
LAG,Species,NA,included,NA,yes,NA
LAI,Species,NA,included,NA,yes,NA
TRQ,Species,NA,included,NA,yes,NA
TPA,Species,NA,included,NA,yes,NA
TRP,Nei,genus,included,NA,yes,NA
TRX,Nei,family,included,NA,yes,NA
REL,Species,NA,included,NA,yes,NA
CUS,Species,NA,included,NA,yes,NA
CUC,Species,NA,included,NA,yes,NA
CUB,Species,NA,included,NA,yes,NA
KCP,Species,NA,included,NA,yes,NA
CEX,Nei,genus,included,NA,yes,NA
BRD,Species,NA,included,NA,yes,NA
OPH,Nei,family,included,NA,yes,NA
BBF,Species,NA,included,NA,yes,NA
PXV,Species,NA,included,NA,yes,NA
BXD,Species,NA,included,NA,yes,NA
BYS,Species,NA,included,NA,yes,NA
ALF,Nei,genus,included,NA,yes,NA
CXF,Species,NA,included,NA,yes,NA
HPR,Species,NA,included,NA,yes,NA
ORY,Species,NA,included,NA,yes,NA
TPT,Species,NA,included,NA,yes,NA
TRC,Nei,family,included,NA,yes,NA
HOO,Species,NA,included,NA,yes,NA
HVS,Species,NA,included,NA,yes,NA
HWH,Species,NA,included,NA,yes,NA
HCZ,Nei,family,included,NA,yes,NA
JOD,Species,NA,included,NA,yes,NA
ZCP,Species,NA,included,NA,yes,NA
JOS,Species,NA,included,NA,yes,NA
ZNE,Species,NA,included,NA,yes,NA
ZCA,Species,NA,included,NA,yes,NA
ZCN,Species,NA,included,NA,yes,NA
ZCT,Species,NA,included,NA,yes,NA
ZEX,Nei,family,included,NA,yes,NA
BOC,Species,NA,included,NA,yes,NA
BOR,Nei,family,included,NA,yes,NA
ONV,Species,NA,included,NA,yes,NA
SSO,Species,NA,included,NA,yes,NA
BOE,Species,NA,included,NA,yes,NA
ALL,Species,NA,included,NA,yes,NA
ORD,Nei,family,included,NA,yes,NA
ODR,Species,NA,included,NA,yes,NA
BCB,Species,NA,included,yes,yes,NA
OWM,Species,NA,included,NA,yes,NA
ATB,Species,NA,included,yes,yes,NA
AHH,Species,NA,included,NA,yes,NA
KRW,Nei,genus,included,NA,yes,NA
SSA,Species,NA,included,NA,yes,NA
SIL,Nei,family,included,yes,yes,NA
MUF,Species,NA,included,yes,yes,NA
MUB,Species,NA,included,yes,yes,NA
MGU,Species,NA,included,NA,yes,NA
MGI,Species,NA,included,NA,yes,NA
MYZ,Species,NA,included,yes,yes,NA
MUO,Species,NA,included,NA,yes,NA
MGS,Nei,genus,included,yes,NA,yes
MLR,Species,NA,included,NA,yes,NA
AJW,Species,NA,included,NA,yes,NA
MUA,Species,NA,included,NA,yes,NA
MGC,Species,NA,included,yes,yes,NA
MGA,Species,NA,included,NA,yes,NA
LZS,Species,NA,included,NA,yes,NA
LZV,Species,NA,included,yes,NA,yes
LZK,Species,NA,included,NA,yes,NA
LZH,Species,NA,included,NA,yes,NA
SOY,Species,NA,included,NA,yes,NA
VMH,Species,NA,included,yes,yes,NA
MUL,Nei,family,included,yes,yes,NA
FLT,Species,NA,included,yes,yes,NA
SXR,Species,NA,included,NA,yes,NA
MWY,Species,NA,included,NA,yes,NA
JCB,Species,NA,included,NA,yes,NA
CJX,Nei,family,included,NA,yes,NA
EPN,Species,NA,included,NA,yes,NA
EPG,Species,NA,included,NA,yes,NA
SNO,Species,NA,included,yes,yes,NA
ROB,Nei,genus,included,yes,yes,NA
GIP,Species,NA,included,yes,yes,NA
LTG,Species,NA,included,NA,yes,NA
LSM,Species,NA,included,NA,yes,NA
LSL,Species,NA,included,NA,yes,NA
NIP,Species,NA,included,yes,yes,NA
IRQ,Species,NA,included,NA,yes,NA
PEX,Nei,genus,included,NA,yes,NA
PWG,Species,NA,included,yes,NA,yes
EHG,Species,NA,included,NA,yes,NA
RNL,Species,NA,included,NA,yes,NA
RTZ,Species,NA,included,NA,yes,NA
MAB,Species,NA,included,yes,yes,NA
MKM,Species,NA,included,NA,yes,NA
MKH,Species,NA,included,NA,yes,NA
MKU,Species,NA,included,NA,yes,NA
MKV,Species,NA,included,NA,yes,NA
GBS,Species,NA,included,NA,yes,NA
MKN,Species,NA,included,NA,yes,NA
GPB,Nei,genus,included,NA,yes,NA
GPD,Species,NA,included,NA,yes,NA
GPW,Species,NA,included,NA,yes,NA
EPA,Species,NA,included,yes,NA,yes
EEN,Species,NA,included,yes,NA,yes
EER,Species,NA,included,NA,yes,NA
EIF,Species,NA,included,yes,NA,yes
EPT,Species,NA,included,yes,yes,NA
GPN,Species,NA,included,NA,yes,NA
EFD,Species,NA,included,NA,yes,NA
GPS,Species,NA,included,NA,yes,NA
EED,Species,NA,included,NA,yes,NA
EEL,Species,NA,included,NA,yes,NA
EEU,Species,NA,included,NA,yes,NA
GPR,Species,NA,included,NA,yes,NA
EEY,Species,NA,included,NA,yes,NA
EFV,Species,NA,included,NA,yes,NA
EFJ,Species,NA,included,NA,yes,NA
EEG,Species,NA,included,NA,yes,NA
EEP,Species,NA,included,NA,yes,NA
ELG,Species,NA,included,NA,yes,NA
EPR,Species,NA,included,yes,yes,NA
MAR,Species,NA,included,yes,NA,yes
EFK,Species,NA,included,NA,yes,NA
EFH,Species,NA,included,NA,yes,NA
ENI,Species,NA,included,yes,yes,NA
EEK,Species,NA,included,NA,yes,NA
EWC,Species,NA,included,NA,yes,NA
EWF,Species,NA,included,yes,yes,NA
EWU,Species,NA,included,NA,yes,NA
EWL,Species,NA,included,yes,NA,yes
EWY,Species,NA,included,NA,yes,NA
EWS,Species,NA,included,NA,yes,NA
GPX,Nei,genus,included,yes,yes,NA
EXF,Species,NA,included,yes,NA,yes
CBR,Species,NA,included,NA,yes,NA
SRK,Species,NA,included,NA,yes,NA
WSA,Species,NA,included,NA,yes,NA
BAS,Nei,genus,included,NA,yes,NA
LDP,Species,NA,included,NA,yes,NA
BSB,Species,NA,included,yes,yes,NA
FHC,Species,NA,included,NA,yes,NA
CFL,Species,NA,included,NA,yes,NA
CFJ,Species,NA,included,NA,yes,NA
CFF,Species,NA,included,NA,yes,NA
CFH,Species,NA,included,NA,yes,NA
CFI,Species,NA,included,NA,yes,NA
CVK,Species,NA,included,NA,yes,NA
MPV,Species,NA,included,yes,yes,NA
DLA,Species,NA,included,NA,yes,NA
PLM,Species,NA,included,yes,NA,yes
EME,Species,NA,included,NA,yes,NA
EMO,Species,NA,included,NA,yes,NA
EMU,Species,NA,included,NA,yes,NA
BSZ,Species,NA,included,NA,yes,NA
BAP,Species,NA,included,NA,yes,NA
XBX,Nei,genus,included,NA,yes,NA
VRL,Species,NA,included,NA,yes,NA
BSX,Nei,family,included,yes,yes,NA
QOF,Species,NA,included,yes,NA,yes
TEU,Species,NA,included,NA,yes,NA
TEH,Species,NA,included,NA,yes,NA
THO,Nei,genus,included,NA,yes,NA
PQD,Species,NA,included,NA,yes,NA
BYB,Species,NA,included,yes,NA,yes
WRF,Species,NA,included,NA,yes,NA
WHA,Species,NA,included,NA,yes,NA
TEJ,Species,NA,included,NA,yes,NA
STB,Species,NA,included,yes,yes,NA
PEW,Species,NA,included,NA,yes,NA
ROY,Species,NA,included,NA,yes,NA
SBH,Species,NA,included,yes,NA,yes
SPU,Species,NA,included,yes,yes,NA
BSS,Species,NA,included,yes,yes,NA
BSE,Nei,genus,included,yes,yes,NA
MCP,Species,NA,included,yes,NA,yes
SIN,Species,NA,included,yes,NA,yes
MCA,Species,NA,included,yes,NA,yes
LMM,Species,NA,included,yes,NA,yes
MPS,Species,NA,included,yes,yes,NA
AKR,Species,NA,included,NA,yes,NA
PXR,Species,NA,included,yes,NA,yes
PQR,Species,NA,included,NA,yes,NA
BIR,Species,NA,included,NA,yes,NA
BIG,Nei,genus,included,NA,yes,NA
APO,Nei,family,included,NA,yes,NA
OEB,Species,NA,included,NA,yes,NA
SYN,Species,NA,included,NA,yes,NA
FPE,Species,NA,included,yes,yes,NA
FPY,Species,NA,included,yes,yes,NA
PND,Species,NA,included,NA,yes,NA
ACC,Species,NA,included,NA,yes,NA
STV,Species,NA,included,NA,yes,NA
SAV,Species,NA,included,NA,yes,NA
FPP,Species,NA,included,yes,yes,NA
SZC,Species,NA,included,NA,yes,NA
ILS,Species,NA,included,NA,yes,NA
WHS,Nei,family,included,NA,yes,NA
ULA,Species,NA,included,NA,yes,NA
ULM,Species,NA,included,NA,yes,NA
ULP,Species,NA,included,NA,yes,NA
CKZ,Species,NA,included,NA,yes,NA
TIL,Species,NA,included,NA,yes,NA
TIS,Nei,family,included,NA,yes,NA
MWP,Species,NA,included,NA,yes,NA
TRF,Species,NA,included,NA,yes,NA
BLU,Species,NA,included,yes,yes,NA
CBA,Species,NA,included,yes,yes,NA
LSJ,Species,NA,included,NA,yes,NA
TUM,Species,NA,included,NA,yes,NA
HOM,Species,NA,included,NA,yes,NA
JAA,Species,NA,included,NA,yes,NA
JJM,Species,NA,included,yes,yes,NA
CJM,Species,NA,included,NA,yes,NA
PJM,Species,NA,included,NA,yes,NA
HMM,Species,NA,included,NA,yes,NA
RSC,Species,NA,included,NA,yes,NA
HMC,Species,NA,included,NA,yes,NA
HMZ,Species,NA,included,NA,yes,NA
HMG,Species,NA,included,NA,yes,NA
JAX,Nei,genus,included,yes,yes,NA
TRZ,Species,NA,included,yes,yes,NA
DCC,Species,NA,included,NA,yes,NA
RSA,Species,NA,included,NA,yes,NA
RUS,Species,NA,included,NA,yes,NA
SDX,Nei,genus,included,NA,yes,NA
NXC,Species,NA,included,NA,yes,NA
NXI,Species,NA,included,yes,yes,NA
NXM,Species,NA,included,NA,yes,NA
NXS,Species,NA,included,NA,yes,NA
CXS,Species,NA,included,yes,yes,NA
RUB,Species,NA,included,NA,yes,NA
CVJ,Species,NA,included,yes,yes,NA
CXR,Species,NA,included,NA,yes,NA
HMY,Species,NA,included,NA,yes,NA
TRE,Nei,genus,included,yes,yes,NA
MOA,Species,NA,included,NA,yes,NA
LUK,Species,NA,included,NA,yes,NA
LNP,Species,NA,included,NA,yes,NA
LNM,Species,NA,included,NA,yes,NA
POO,Species,NA,included,yes,yes,NA
POM,Species,NA,included,yes,yes,NA
POP,Species,NA,included,yes,yes,NA
TNF,Species,NA,included,NA,yes,NA
TUK,Species,NA,included,NA,yes,NA
POX,Nei,genus,included,NA,yes,NA
AMB,Species,NA,included,yes,yes,NA
AMJ,Species,NA,included,yes,NA,yes
YTC,Species,NA,included,yes,yes,NA
RLF,Species,NA,included,NA,yes,NA
RLN,Species,NA,included,NA,yes,NA
YTL,Species,NA,included,yes,yes,NA
RLZ,Species,NA,included,NA,yes,NA
AMX,Nei,genus,included,yes,yes,NA
OLT,Species,NA,included,NA,yes,NA
OLP,Species,NA,included,NA,yes,NA
OLG,Species,NA,included,NA,yes,NA
NAU,Species,NA,included,NA,yes,NA
LEE,Species,NA,included,NA,yes,NA
ALA,Species,NA,included,NA,yes,NA
LIJ,Species,NA,included,NA,yes,NA
POB,Species,NA,included,NA,yes,NA
NGJ,Species,NA,included,NA,yes,NA
NGU,Species,NA,included,NA,yes,NA
NGS,Species,NA,included,yes,yes,NA
NBR,Species,NA,included,NA,yes,NA
RRU,Species,NA,included,NA,yes,NA
GLT,Species,NA,included,yes,yes,NA
HAS,Species,NA,included,NA,yes,NA
OBM,Species,NA,included,NA,yes,NA
OBY,Species,NA,included,NA,yes,NA
OBJ,Species,NA,included,NA,yes,NA
QUE,Nei,genus,included,NA,yes,NA
BUA,Species,NA,included,NA,yes,NA
HSO,Species,NA,included,NA,yes,NA
PAO,Species,NA,included,NA,yes,NA
BIS,Species,NA,included,NA,yes,NA
TRY,Species,NA,included,NA,yes,NA
RNJ,Species,NA,included,NA,yes,NA
VAD,Species,NA,included,NA,yes,NA
CGX,Nei,family,included,NA,yes,NA
MOO,Species,NA,included,NA,yes,NA
POA,Species,NA,included,NA,yes,NA
BRU,Species,NA,included,NA,yes,NA
TST,Species,NA,included,NA,yes,NA
BPB,Species,NA,included,NA,yes,NA
BRZ,Nei,family,included,NA,yes,NA
DOL,Species,NA,included,NA,yes,NA
RUF,Species,NA,included,NA,yes,NA
ASA,Species,NA,included,NA,yes,NA
EMM,Species,NA,included,NA,yes,NA
RYG,Species,NA,included,NA,yes,NA
EYO,Species,NA,included,NA,yes,NA
EMT,Nei,family,included,NA,yes,NA
RES,Species,NA,included,yes,yes,NA
LJT,Species,NA,included,yes,NA,yes
LJH,Species,NA,included,yes,yes,NA
MAL,Species,NA,included,yes,yes,NA
LUB,Species,NA,included,yes,NA,yes
LUJ,Species,NA,included,NA,yes,NA
LJN,Species,NA,included,NA,yes,NA
HUS,Species,NA,included,NA,yes,NA
SNC,Species,NA,included,NA,yes,NA
LJU,Species,NA,included,NA,yes,NA
SNR,Species,NA,included,NA,yes,NA
LJY,Species,NA,included,NA,yes,NA
LJI,Species,NA,included,NA,yes,NA
LJS,Species,NA,included,yes,yes,NA
LJJ,Species,NA,included,NA,yes,NA
SNL,Species,NA,included,NA,yes,NA
LTJ,Species,NA,included,NA,yes,NA
SNU,Species,NA,included,yes,NA,yes
LJO,Species,NA,included,NA,yes,NA
LJB,Species,NA,included,yes,yes,NA
LJG,Species,NA,included,NA,yes,NA
LVN,Species,NA,included,NA,yes,NA
LVK,Species,NA,included,NA,yes,NA
LWQ,Species,NA,included,NA,yes,NA
LVG,Species,NA,included,yes,NA,yes
LWP,Species,NA,included,NA,yes,NA
SNA,Nei,genus,included,yes,yes,NA
SNY,Species,NA,included,NA,yes,NA
ARQ,Species,NA,included,NA,yes,NA
AVR,Species,NA,included,NA,yes,NA
ASX,Species,NA,included,NA,yes,NA
AFK,Species,NA,included,NA,yes,NA
EEO,Species,NA,included,NA,yes,NA
PQI,Species,NA,included,NA,yes,NA
UPZ,Species,NA,included,NA,yes,NA
LWX,Nei,genus,included,NA,yes,NA
RPU,Species,NA,included,NA,yes,NA
HLG,Species,NA,included,NA,yes,NA
SNX,Nei,family,included,yes,yes,NA
NNJ,Species,NA,included,NA,yes,NA
THG,Species,NA,included,NA,yes,NA
NNZ,Species,NA,included,NA,yes,NA
THB,Nei,genus,included,NA,yes,NA
NWS,Species,NA,included,NA,yes,NA
MOB,Nei,genus,included,NA,yes,NA
THD,Nei,family,included,NA,yes,NA
LOB,Species,NA,included,NA,yes,NA
LOZ,Species,NA,included,NA,yes,NA
POY,Nei,genus,included,NA,yes,NA
PON,Nei,family,included,NA,yes,NA
DGP,Species,NA,included,NA,yes,NA
XEC,Species,NA,included,NA,yes,NA
HNS,Species,NA,included,NA,yes,NA
HLU,Species,NA,included,NA,yes,NA
HLI,Species,NA,included,NA,yes,NA
HLL,Species,NA,included,NA,yes,NA
HWX,Nei,genus,included,NA,yes,NA
PIG,Species,NA,included,NA,yes,NA
OTR,Species,NA,included,NA,yes,NA
GRP,Species,NA,included,NA,yes,NA
GRA,Species,NA,included,NA,yes,NA
PKP,Species,NA,included,NA,yes,NA
PKF,Species,NA,included,NA,yes,NA
GBL,Species,NA,included,NA,yes,NA
GBR,Species,NA,included,NA,yes,NA
GQT,Species,NA,included,NA,yes,NA
GQD,Species,NA,included,NA,yes,NA
PBX,Nei,genus,included,NA,yes,NA
PKS,Species,NA,included,NA,yes,NA
GRL,Species,NA,included,NA,yes,NA
BGR,Species,NA,included,NA,yes,NA
BUR,Species,NA,included,NA,yes,NA
PKE,Species,NA,included,NA,yes,NA
KAH,Species,NA,included,NA,yes,NA
GRB,Species,NA,included,NA,yes,NA
BRG,Species,NA,included,NA,yes,NA
GRX,Nei,family,included,NA,yes,NA
WEM,Species,NA,included,NA,yes,NA
CBM,Species,NA,included,yes,yes,NA
AXW,Species,NA,included,NA,yes,NA
DRU,Nei,genus,included,yes,NA,yes
AGR,Species,NA,included,yes,yes,NA
YNA,Species,NA,included,NA,yes,NA
WEP,Species,NA,included,NA,yes,NA
YNR,Species,NA,included,NA,yes,NA
YNJ,Species,NA,included,NA,yes,NA
YNE,Species,NA,included,NA,yes,NA
SWF,Species,NA,included,NA,yes,NA
YNH,Species,NA,included,NA,yes,NA
STG,Species,NA,included,NA,yes,NA
WKS,Species,NA,included,NA,yes,NA
YNV,Species,NA,included,NA,yes,NA
YNZ,Species,NA,included,NA,yes,NA
YGC,Species,NA,included,NA,yes,NA
WKX,Nei,genus,included,NA,yes,NA
MIH,Species,NA,included,yes,yes,NA
CKM,Species,NA,included,yes,yes,NA
CKA,Species,NA,included,NA,yes,NA
CRX,Nei,genus,included,NA,yes,NA
KGB,Species,NA,included,NA,yes,NA
MEO,Species,NA,included,NA,yes,NA
KGF,Species,NA,included,NA,yes,NA
KGG,Species,NA,included,NA,yes,NA
KIX,Nei,genus,included,NA,yes,NA
COB,Species,NA,included,yes,yes,NA
CKY,Species,NA,included,NA,yes,NA
UMX,Species,NA,included,NA,yes,NA
UCA,Species,NA,included,NA,yes,NA
UBS,Nei,genus,included,yes,NA,yes
WKK,Species,NA,included,NA,yes,NA
MGR,Species,NA,included,yes,yes,NA
RYJ,Species,NA,included,yes,NA,yes
KOB,Species,NA,included,NA,yes,NA
AWE,Species,NA,included,NA,yes,NA
WEW,Species,NA,included,NA,yes,NA
KIC,Species,NA,included,NA,yes,NA
LRJ,Species,NA,included,NA,yes,NA
LSI,Species,NA,included,NA,yes,NA
DRS,Species,NA,included,NA,yes,NA
LKR,Species,NA,included,NA,yes,NA
PDR,Species,NA,included,NA,yes,NA
LGT,Species,NA,included,NA,yes,NA
LGQ,Species,NA,included,NA,yes,NA
BDM,Species,NA,included,NA,yes,NA
EFI,Species,NA,included,NA,yes,NA
EBY,Species,NA,included,NA,yes,NA
HOC,Species,NA,included,NA,yes,NA
LYC,Species,NA,included,yes,yes,NA
CRY,Species,NA,included,NA,yes,NA
ISA,Species,NA,included,NA,yes,NA
SPT,Species,NA,included,NA,yes,NA
RDM,Species,NA,included,yes,yes,NA
CKL,Species,NA,included,NA,yes,NA
PSS,Species,NA,included,NA,yes,NA
PSE,Species,NA,included,NA,yes,NA
CKW,Nei,genus,included,NA,yes,NA
CRL,Species,NA,included,NA,yes,NA
CRV,Species,NA,included,NA,yes,NA
NHK,Species,NA,included,NA,yes,NA
IAG,Species,NA,included,NA,yes,NA
CDX,Nei,family,included,yes,yes,NA
LBR,Nei,genus,included,NA,yes,NA
LHN,Species,NA,included,NA,yes,NA
LTN,Species,NA,included,NA,yes,NA
LTK,Species,NA,included,NA,yes,NA
LTQ,Species,NA,included,NA,yes,NA
LTS,Species,NA,included,NA,yes,NA
LEN,Species,NA,included,NA,yes,NA
LHI,Species,NA,included,yes,yes,NA
LWO,Species,NA,included,NA,yes,NA
LXN,Species,NA,included,NA,yes,NA
LBW,Species,NA,included,NA,yes,NA
MXG,Species,NA,included,NA,yes,NA
EMP,Nei,family,included,NA,yes,NA
SBR,Species,NA,included,yes,yes,NA
PAC,Species,NA,included,yes,yes,NA
SBA,Species,NA,included,NA,yes,NA
PAR,Species,NA,included,NA,yes,NA
PAX,Nei,genus,included,NA,yes,NA
DIG,Species,NA,included,NA,yes,NA
ANN,Species,NA,included,NA,yes,NA
SWA,Species,NA,included,yes,yes,NA
CTB,Species,NA,included,yes,yes,NA
SHR,Species,NA,included,yes,yes,NA
DIH,Species,NA,included,NA,yes,NA
SRG,Nei,genus,included,yes,yes,NA
CFN,Species,NA,included,NA,yes,NA
CBD,Species,NA,included,NA,yes,NA
CKQ,Species,NA,included,NA,yes,NA
PRG,Nei,genus,included,NA,yes,NA
DEP,Species,NA,included,yes,yes,NA
DEL,Species,NA,included,NA,yes,NA
DEC,Species,NA,included,yes,yes,NA
DEA,Species,NA,included,NA,yes,NA
DNC,Species,NA,included,NA,yes,NA
DTT,Species,NA,included,yes,NA,yes
DEX,Nei,genus,included,NA,yes,NA
BRB,Species,NA,included,NA,yes,NA
SBS,Species,NA,included,NA,yes,NA
SPH,Species,NA,included,NA,yes,NA
AVB,Species,NA,included,NA,yes,NA
KBR,Species,NA,included,NA,yes,NA
SLF,Species,NA,included,NA,yes,NA
SLD,Species,NA,included,NA,yes,NA
CYM,Species,NA,included,NA,yes,NA
BSC,Species,NA,included,yes,yes,NA
RPG,Species,NA,included,yes,yes,NA
REA,Species,NA,included,yes,NA,yes
GSU,Species,NA,included,yes,yes,NA
REV,Species,NA,included,yes,NA,yes
SBP,Nei,genus,included,yes,yes,NA
RER,Species,NA,included,NA,yes,NA
PGA,Species,NA,included,NA,yes,NA
WSN,Species,NA,included,NA,yes,NA
RSS,Species,NA,included,yes,NA,yes
RXS,Species,NA,included,NA,yes,NA
UZX,Nei,genus,included,NA,yes,NA
SBG,Species,NA,included,yes,yes,NA
BOG,Species,NA,included,NA,yes,NA
RSX,Nei,genus,included,NA,yes,NA
CWC,Species,NA,included,NA,yes,NA
SNW,Species,NA,included,NA,yes,NA
SSB,Species,NA,included,NA,yes,NA
STW,Nei,genus,included,NA,yes,NA
SLM,Species,NA,included,NA,yes,NA
ENJ,Species,NA,included,yes,NA,yes
SZH,Species,NA,included,yes,yes,NA
MLB,Species,NA,included,yes,yes,NA
MLM,Species,NA,included,yes,yes,NA
YWF,Species,NA,included,yes,yes,NA
AAB,Species,NA,included,yes,yes,NA
SCP,Species,NA,included,NA,yes,NA
LGO,Species,NA,included,NA,yes,NA
SBX,Nei,family,included,yes,yes,NA
BPI,Species,NA,included,NA,yes,NA
SPC,Species,NA,included,NA,yes,NA
PIC,Nei,genus,included,NA,yes,NA
EHI,Species,NA,included,NA,yes,NA
MUR,Species,NA,included,NA,yes,NA
MUT,Species,NA,included,NA,yes,NA
MWU,Species,NA,included,NA,yes,NA
MUX,Nei,genus,included,NA,yes,NA
MUV,Species,NA,included,NA,yes,NA
GOX,Nei,genus,included,NA,yes,NA
GOA,Species,NA,included,NA,yes,NA
MUM,Nei,family,included,NA,yes,NA
EHN,Species,NA,included,NA,yes,NA
ECN,Nei,family,included,NA,yes,NA
TXM,Species,NA,included,NA,yes,NA
GEJ,Species,NA,included,NA,yes,NA
GEO,Species,NA,included,NA,yes,NA
GEZ,Species,NA,included,NA,yes,NA
MOJ,Nei,genus,included,yes,yes,NA
DUT,Species,NA,included,NA,yes,NA
DUH,Species,NA,included,NA,yes,NA
MFF,Species,NA,included,NA,yes,NA
GDJ,Nei,family,included,NA,yes,NA
GIY,Species,NA,included,NA,yes,NA
OIV,Species,NA,included,NA,yes,NA
ECO,Species,NA,included,NA,yes,NA
KYX,Nei,family,included,NA,yes,NA
BAJ,Species,NA,included,yes,yes,NA
SPS,Species,NA,included,NA,yes,NA
SIC,Species,NA,included,NA,yes,NA
RIS,Species,NA,included,NA,yes,NA
SWH,Species,NA,included,NA,yes,NA
EMV,Species,NA,included,NA,yes,NA
EDR,Species,NA,included,NA,yes,NA
EDJ,Species,NA,included,NA,yes,NA
OLF,Species,NA,included,yes,NA,yes
OJX,Nei,genus,included,NA,yes,NA
BEJ,Species,NA,included,NA,yes,NA
AQK,Species,NA,included,NA,yes,NA
OVZ,Species,NA,included,NA,yes,NA
TLM,Species,NA,included,yes,yes,NA
TLN,Species,NA,included,yes,yes,NA
OEA,Species,NA,included,yes,yes,NA
TLL,Species,NA,included,yes,NA,yes
ORM,Species,NA,included,yes,NA,yes
STA,Species,NA,included,yes,NA,yes
OIH,Species,NA,included,yes,yes,NA
OIT,Species,NA,included,yes,NA,yes
TLP,Nei,genus,included,yes,yes,NA
OXW,Species,NA,included,yes,NA,yes
SAR,Species,NA,included,yes,yes,NA
SAH,Species,NA,included,yes,yes,NA
CHL,Species,NA,included,yes,yes,NA
CHK,Species,NA,included,yes,NA,yes
CHX,Nei,genus,included,yes,NA,yes
CLO,Species,NA,included,yes,yes,NA
IGX,Nei,genus,included,yes,NA,yes
TLZ,Species,NA,included,yes,NA,yes
TLR,Species,NA,included,yes,NA,yes
HBS,Species,NA,included,NA,yes,NA
LNR,Species,NA,included,NA,yes,NA
HJF,Species,NA,included,yes,yes,NA
TOC,Species,NA,included,NA,yes,NA
AST,Nei,genus,included,yes,yes,NA
IBZ,Species,NA,included,NA,yes,NA
CIM,Nei,genus,included,NA,yes,NA
AER,Species,NA,included,yes,yes,NA
YBB,Species,NA,included,yes,NA,yes
CIX,Nei,family,included,NA,yes,NA
CBC,Species,NA,included,NA,yes,NA
HUR,Species,NA,included,NA,yes,NA
HRC,Species,NA,included,NA,yes,NA
USB,Species,NA,included,NA,yes,NA
WRM,Species,NA,included,NA,yes,NA
USP,Species,NA,included,NA,yes,NA
ENX,Species,NA,included,NA,yes,NA
COU,Species,NA,included,NA,yes,NA
TBR,Species,NA,included,NA,yes,NA
XYN,Species,NA,included,NA,yes,NA
HVM,Species,NA,included,NA,yes,NA
LCX,Species,NA,included,NA,yes,NA
TAU,Species,NA,included,NA,yes,NA
